"year","ANZ","CAM","CAN","CHI","EEU","FSU","JPK","LAM","MAF","MDE","SAS","SEA","SIS","SSA","USA","WEU"
2057,0.762202492696216,-0.22460652474886,0.65411305372082,-0.890555888427553,-0.353999996318495,-0.436469579648278,-0.470487849931653,-0.27602750443372,-0.0582969759908902,0.193337875092943,-0.0489696868939449,-0.322848090761587,-0.507260862590801,0.667688133249058,0.498743457855442,0.197107061998429
2058,0.745790809517168,-0.244650214988917,0.643305078955678,-0.913229062160896,-0.364941109086208,-0.447122901446853,-0.486246233435519,-0.297363520239078,-0.0820511386908307,0.167649316884515,-0.0755511963268241,-0.343143540359301,-0.528066754966701,0.64015781185379,0.495462008684036,0.188217813536768
2059,0.729379126338121,-0.264693905228974,0.632497104190537,-0.935902235894239,-0.37588222185392,-0.457776223245427,-0.502004616939384,-0.318699536044436,-0.105805301390771,0.141960758676087,-0.102132705759703,-0.363438989957015,-0.5488726473426,0.612627490458522,0.492180559512629,0.179328565075108
2060,0.712967443159074,-0.284737595469031,0.621689129425396,-0.958575409627582,-0.386823334621633,-0.468429545044002,-0.51776300044325,-0.340035551849793,-0.129559464090712,0.11627220046766,-0.128714215192582,-0.383734439554728,-0.569678539718499,0.585097169063253,0.488899110341223,0.170439316613447
2061,0.68608060173204,-0.296826200747531,0.603792679214927,-0.978884019661728,-0.403635566125162,-0.481268175536926,-0.53720777522418,-0.358896309909273,-0.148906993437674,0.0930820798692755,-0.154207995761733,-0.39825008787127,-0.582615035986143,0.56149584396477,0.481702697875517,0.154737841530155
2062,0.659193760305006,-0.30891480602603,0.585896229004459,-0.999192629695873,-0.420447797628691,-0.49410680602985,-0.55665255000511,-0.377757067968754,-0.168254522784637,0.0698919592708913,-0.179701776330883,-0.412765736187812,-0.595551532253786,0.537894518866286,0.47450628540981,0.139036366446863
2063,0.632306918877972,-0.32100341130453,0.567999778793991,-1.01950123973002,-0.43726002913222,-0.506945436522774,-0.57609732478604,-0.396617826028234,-0.187602052131599,0.0467018386725071,-0.205195556900033,-0.427281384504354,-0.60848802852143,0.514293193767803,0.467309872944104,0.123334891363571
2064,0.605420077450938,-0.33309201658303,0.550103328583522,-1.03980984976416,-0.454072260635749,-0.519784067015698,-0.59554209956697,-0.415478584087714,-0.206949581478562,0.0235117180741229,-0.230689337469183,-0.441797032820896,-0.621424524789074,0.49069186866932,0.460113460478397,0.107633416280279
2065,0.578533236023904,-0.345180621861529,0.532206878373054,-1.06011845979831,-0.470884492139279,-0.532622697508622,-0.6149868743479,-0.434339342147194,-0.226297110825524,0.000321597475738677,-0.256183118038333,-0.456312681137439,-0.634361021056717,0.467090543570836,0.452917048012691,0.0919319411969877
2066,0.55174431173767,-0.356933577344658,0.508735346861067,-1.07643733190021,-0.486804406845187,-0.546773997462751,-0.634748058412427,-0.452530072923953,-0.245437794796479,-0.0226836211201142,-0.281112969517836,-0.475309996143016,-0.64719627476606,0.4435090396625,0.444369182848643,0.0761303862894724
